id,title,directions,ingredient01,quantity01,unit01,ingredient02,quantity02,unit02,ingredient03,quantity03,unit03
1,Teriyaki Chicken,"Sear the chicken pieces evenly in a pan, then flip. Add the soy sauce and brown sugar, stirring and bringing to a boil. Stir until the sauce has reduced and evenly glazes the chicken. Serve with rice, if desired! Enjoy!",chicken,910,grams,soy sauce,240,ml,brown sugar,110,grams
2,Cajun BBQ Ribs,"Preheat oven to 250°F (120°C). Rub the Cajun seasoning evenly over the top and bottom of the ribs. Bake for 2 hours, until ribs are tender. Increase oven temperature to 500°F (260°C). Brush the BBQ sauce evenly over the top and the sides. Bake for an additional 15 minutes, until the sauce is bubbly and caramelized. Serve with the extra BBQ sauce! Enjoy!",baby back ribs,1/2,rack,cajun seasoning,3,tablespoons,BBQ sauce,1,cup
3,Chili-glazed Salmon,"Preheat oven to 400°F (200˚C). In a bowl, mix together the salmon, chili sauce, and the scallions. Place the fillets on a baking tray lined with parchment paper. Spoon any leftover sauce on top of the salmon. Bake for 12-15 minutes, until the salmon is cooked but still tender. Enjoy!",salmon,3,fillets,chilli sauce,1/2,cup,chopped scallions,1/4,cup
4,Mac & Cheese,"In a large pot, bring the milk to a boil. Add the pasta and stir constantly until the pasta is cooked, about 10 minutes. Turn off the heat, then add the cheddar. Stir until the cheese is melted and the pasta is evenly coated. Enjoy!",milk,5,cups,elbow macaroni,455,grams,shredded cheddar cheese,2,cups
5,Banana oat smoothie,Add rolled oats to a blender and blend until the oats are the size of a fine crumb. Add the banana and milk and blend well. Pour in a glass. Enjoy!,rolled oats,1/2,cup,banana,1,whole,milk,1,cup
6,Peanut Butter Cookies,"Preheat oven to 350ºF (180ºC). In a large bowl, mix together the peanut butter, sugar, and egg. Scoop out a spoonful of dough and roll it into a ball. Place the cookie balls onto a nonstick baking sheet. For extra decoration and to make them cook more evenly, flatten the cookie balls by pressing a fork down on top of them, then press it down again at a 90º angle to make a criss-cross pattern. Bake for 8-10 minutes or until the bottom of the cookies are golden brown. Remove from baking sheet and cool. Enjoy!",peanut butter,1,cup,sugar,1/2,cup,egg,1,beaten
7,Peanut Butter Cups,Prepare a cupcake tin with 6 liners. Stir peanut butter and powdered sugar together until smooth. Spread 1 to 2 tablespoons of melted chocolate in the bottom of each cupcake liner. Dollop 1 to 2 teaspoons of the peanut butter mixture on top of the chocolate. Cover each dollop of peanut butter with more melted chocolate and smooth out the top. Refrigerate for 1 hour or until chocolate has hardened. Remove peanut butter cups from the liners. Enjoy!,powdered sugar,3,tablespoons,peanut butter,1/2,cup,chocolate,1,cup
8,Hazelnut Brownies,"Preheat oven to 350ºF (175ºC). In a large bowl, combine ingredients. Transfer mix to square baking dish. Bake for 15 minutes. Allow to cool for 5 minutes and then carefully cut into squares. Enjoy!",nutella,370,grams,eggs,2,whole,flour,1/2,cup
9,Cloud Bread,Preheat oven to 300°F (150°C). Separate the eggs into two bowls. Add the cream of tartar to the egg whites and whip into stiff peaks. Add the cream cheese or yogurt into the yolks and mix until combined. Fold half of the egg whites into the yolks until just combined. Add the rest and fold again until incorporated. Line a baking sheet with parchment paper and place six dollops of the mixture on the tray. Spread out the circles with a spatula to about ½ inch (1 cm) thick. Bake for 30 minutes or until golden. Allow to cool for at least 1 hour. Enjoy!,eggs,3,seperated,cream of tartar,1/8,teaspoon,cream cheese,3,tablespoons
10,Chocolate Mousse,"In a medium pot, combine the marshmallows and milk. Cook over medium heat, stirring constantly, until the marshmallows are completely melted, 5-7 minutes. Pour the marshmallow mixture over the chocolate in a medium heatproof bowl. Let sit for 2-3 minutes, then whisk until well combined and smooth. Divide the mixture between 4 serving cups. Chill in the refrigerator for at least 1 hour, or until set. Top with whipped cream and grated chocolate, if desired. Enjoy!",marshmallow,140,grams,milk,1 1/2,cups,dark chocolate,1,cup
11,chicken fingers,"cut chicken breast into strips, crumb them and fry",chicken,250,grams,flour,100,grams,bread crumbs,1,cup
